Date,Open,High,Low,Close,Adj Close,Volume
2020-01-23,1480.000000,1523.900024,1474.949951,1514.900024,1493.371460,50962
2020-01-24,1520.000000,1533.900024,1490.000000,1497.199951,1475.922852,43705
2020-01-27,1512.000000,1512.000000,1460.099976,1468.050049,1447.187134,71757
2020-01-28,1475.000000,1479.699951,1441.349976,1455.550049,1434.864868,58868
2020-01-29,1456.000000,1509.000000,1445.000000,1450.750000,1430.133179,51132
2020-01-30,1455.000000,1469.000000,1434.150024,1451.449951,1430.822998,42029
2020-01-31,1455.000000,1484.900024,1430.050049,1479.599976,1458.572998,45766
2020-02-03,1455.000000,1529.000000,1432.050049,1468.050049,1447.187134,63446
2020-02-04,1467.599976,1525.000000,1467.599976,1493.099976,1471.881104,69340
2020-02-05,1499.900024,1520.000000,1478.000000,1497.400024,1476.119995,48512
2020-02-06,1506.000000,1514.900024,1474.050049,1497.000000,1475.725708,108345
2020-02-07,1507.000000,1513.949951,1466.349976,1503.150024,1481.788330,69022
2020-02-10,1508.000000,1509.000000,1476.050049,1484.800049,1463.699219,66306
2020-02-11,1489.949951,1504.300049,1477.000000,1490.750000,1469.564697,40835
2020-02-12,1499.000000,1617.000000,1490.000000,1594.550049,1571.889526,130999
2020-02-13,1614.800049,1614.800049,1561.000000,1575.349976,1552.962280,40352
2020-02-14,1612.000000,1648.900024,1551.000000,1635.699951,1612.454590,130762
2020-02-17,1634.000000,1635.699951,1565.000000,1615.449951,1592.492310,49784
2020-02-18,1617.599976,1617.599976,1570.000000,1577.849976,1565.115234,67785
2020-02-19,1578.849976,1586.099976,1561.300049,1565.849976,1553.212036,42233
2020-02-20,1562.000000,1594.400024,1542.199951,1555.650024,1543.094360,45635
2020-02-24,1560.000000,1563.900024,1517.000000,1534.500000,1522.115112,44029
2020-02-25,1536.050049,1559.699951,1510.349976,1528.550049,1516.213135,46774
2020-02-26,1515.949951,1549.699951,1511.300049,1533.699951,1521.321533,44149
2020-02-27,1534.650024,1534.650024,1451.550049,1496.650024,1484.570557,56674
2020-02-28,1464.000000,1467.800049,1362.300049,1404.449951,1393.114624,53537
2020-03-02,1410.250000,1458.699951,1365.099976,1380.099976,1368.961182,49235
2020-03-03,1394.000000,1394.349976,1344.800049,1354.000000,1343.072021,68371
2020-03-04,1375.000000,1375.000000,1310.000000,1319.250000,1308.602417,82949
2020-03-05,1309.000000,1367.900024,1309.000000,1351.500000,1340.592163,41621
2020-03-06,1287.000000,1449.000000,1287.000000,1397.250000,1385.972778,66654
2020-03-09,1360.250000,1425.000000,1310.000000,1389.449951,1378.235718,60746
2020-03-11,1355.800049,1398.949951,1316.550049,1328.349976,1317.629028,41408
2020-03-12,1300.000000,1300.000000,1201.300049,1241.599976,1231.578979,150029
2020-03-13,1135.250000,1280.000000,1100.000000,1230.050049,1220.122314,93314
2020-03-16,1171.050049,1244.750000,1135.250000,1149.500000,1140.222412,37099
2020-03-17,1131.150024,1198.000000,1123.949951,1158.849976,1149.496826,56531
2020-03-18,1171.250000,1171.250000,1022.000000,1064.400024,1055.809204,42035
2020-03-19,1000.099976,1115.000000,925.250000,1051.849976,1043.360474,54253
2020-03-20,1070.000000,1070.000000,981.000000,1017.700012,1009.486206,53359
2020-03-23,980.000000,980.000000,814.200012,943.700012,936.083435,49477
2020-03-24,985.500000,985.500000,892.549988,965.799988,958.005066,35220
2020-03-25,995.000000,1035.000000,915.150024,996.750000,988.705261,57256
2020-03-26,1025.000000,1041.000000,967.000000,1023.700012,1015.437805,47350
2020-03-27,1023.700012,1069.699951,930.000000,953.099976,945.407471,41673
2020-03-30,945.000000,950.049988,911.000000,940.450012,932.859680,40184
2020-03-31,959.650024,974.900024,915.000000,944.950012,937.323364,40516
2020-04-01,954.950012,954.950012,892.000000,922.349976,914.905701,42658
2020-04-03,929.950012,939.950012,896.099976,923.000000,915.550476,42747
2020-04-07,932.000000,958.000000,915.000000,931.549988,924.031494,46994
2020-04-08,935.000000,974.000000,919.000000,931.349976,923.833069,42462
2020-04-09,934.099976,989.000000,925.099976,945.200012,937.571289,59070
2020-04-13,945.200012,957.500000,907.650024,918.200012,910.789246,45825
2020-04-15,925.000000,949.950012,903.900024,913.250000,905.879211,42560
2020-04-16,910.000000,929.000000,892.599976,917.099976,909.698059,48605
2020-04-17,930.000000,960.000000,915.299988,948.349976,940.695862,48248
2020-04-20,961.000000,968.000000,927.150024,944.150024,936.529785,47046
2020-04-21,940.000000,940.000000,895.000000,903.150024,895.860779,47970
2020-04-22,896.000000,919.950012,895.250000,909.250000,901.911499,50990
2020-04-23,915.900024,959.000000,906.200012,947.450012,939.803101,58059
2020-04-24,954.000000,975.000000,916.849976,965.799988,958.005066,72647
2020-04-27,990.000000,998.000000,940.599976,949.250000,941.588623,46632
2020-04-28,949.099976,956.700012,916.150024,935.900024,928.346375,47447
2020-04-29,935.000000,1004.000000,925.099976,968.700012,960.881653,97151
2020-04-30,990.549988,998.799988,930.950012,940.000000,932.413269,79770
2020-05-04,925.000000,935.000000,901.099976,928.500000,921.006104,49938
2020-05-05,918.000000,939.650024,911.000000,916.349976,908.954102,57524
2020-05-06,916.349976,923.950012,901.599976,909.450012,902.109863,61256
2020-05-07,909.900024,924.000000,896.049988,899.500000,892.240112,66898
2020-05-08,908.950012,919.000000,886.700012,891.549988,884.354309,56633
2020-05-11,888.000000,903.000000,888.000000,895.799988,888.570068,44750
2020-05-12,890.000000,895.650024,871.000000,877.049988,869.971313,51015
2020-05-13,892.700012,906.000000,884.650024,896.549988,889.313965,74328
2020-05-14,892.000000,919.750000,885.049988,892.650024,885.445435,77015
2020-05-15,895.049988,902.450012,875.299988,884.500000,877.361206,44861
2020-05-18,880.000000,887.000000,840.000000,853.049988,846.165039,48024
2020-05-19,858.000000,892.750000,850.000000,878.250000,871.161682,51688
2020-05-20,882.599976,914.700012,882.049988,899.450012,892.190552,45069
2020-05-21,902.000000,920.000000,886.049988,891.750000,884.552673,47771
2020-05-22,885.200012,900.000000,875.549988,892.049988,884.850281,45040
2020-05-26,896.500000,935.000000,884.650024,912.900024,905.532043,61828
2020-05-27,917.000000,917.000000,892.000000,894.650024,887.429382,47197
2020-05-28,894.650024,945.000000,894.650024,931.400024,923.882751,73707
2020-05-29,929.000000,945.000000,914.950012,917.200012,909.797363,50366
2020-06-01,921.799988,970.000000,902.299988,951.900024,944.217285,58271
2020-06-02,959.000000,989.500000,950.000000,978.750000,970.850586,60793
2020-06-03,983.900024,1026.699951,963.150024,1005.650024,997.533447,79818
2020-06-04,1003.000000,1035.250000,983.450012,1001.250000,993.168945,41306
2020-06-05,1009.000000,1199.000000,1005.000000,1143.000000,1133.774902,411094
2020-06-08,1150.000000,1164.750000,1102.000000,1137.400024,1128.220215,81937
2020-06-09,1126.000000,1144.000000,1070.000000,1083.750000,1075.003052,41693
2020-06-10,1085.000000,1110.000000,1058.449951,1096.449951,1087.600586,91332
2020-06-11,1070.099976,1109.650024,1045.000000,1056.250000,1047.725098,40396
2020-06-12,1004.000000,1135.000000,990.000000,1106.699951,1097.767822,101771
2020-06-15,1101.000000,1119.000000,1070.150024,1082.900024,1074.159912,30646
2020-06-16,1092.000000,1107.199951,1050.000000,1058.699951,1050.155151,35969
2020-06-17,1058.699951,1080.000000,1050.099976,1073.699951,1065.034180,43086
2020-06-18,1070.000000,1091.050049,1061.150024,1073.650024,1064.984619,47060
2020-06-19,1080.000000,1117.449951,1070.050049,1085.849976,1077.086182,47794
2020-06-22,1090.000000,1145.000000,1080.050049,1111.199951,1102.231445,86889
2020-06-23,1117.000000,1145.000000,1111.500000,1133.650024,1124.500488,43191
2020-06-24,1135.000000,1157.900024,1112.000000,1121.150024,1112.101318,38196
2020-06-25,1110.000000,1154.000000,1110.000000,1136.750000,1127.575317,47072
2020-06-26,1149.000000,1178.099976,1125.000000,1142.500000,1133.278931,98046
2020-06-29,1141.000000,1158.050049,1125.000000,1146.599976,1137.345825,35860
2020-06-30,1152.000000,1165.000000,1083.099976,1152.099976,1142.801514,92705
2020-07-01,1156.000000,1168.699951,1119.900024,1130.699951,1121.574097,36326
2020-07-02,1125.000000,1168.000000,1125.000000,1142.099976,1132.882202,35924
2020-07-03,1146.800049,1161.000000,1133.650024,1146.699951,1137.444824,35708
2020-07-06,1147.800049,1205.949951,1145.000000,1192.949951,1183.321777,111374
2020-07-07,1202.000000,1295.599976,1183.099976,1267.650024,1257.418823,321615
2020-07-08,1266.000000,1279.000000,1220.000000,1231.650024,1221.709473,54678
2020-07-09,1245.000000,1255.000000,1220.000000,1232.050049,1222.106201,40733
2020-07-10,1240.000000,1240.000000,1193.000000,1201.400024,1191.703613,43827
2020-07-13,1205.000000,1219.300049,1178.000000,1191.199951,1181.585815,41913
2020-07-14,1186.000000,1229.900024,1174.000000,1188.699951,1179.106079,68561
2020-07-15,1186.000000,1210.000000,1175.000000,1179.050049,1169.533936,38626
2020-07-16,1179.000000,1179.000000,1161.300049,1165.949951,1156.539673,36505
2020-07-17,1166.000000,1182.250000,1136.050049,1151.300049,1142.007935,52009
2020-07-20,1145.000000,1179.000000,1120.000000,1125.849976,1116.763306,67301
2020-07-21,1131.000000,1142.000000,1114.699951,1124.599976,1115.523315,39678
2020-07-22,1130.000000,1154.800049,1119.349976,1125.050049,1115.969849,34321
2020-07-23,1127.000000,1165.000000,1127.000000,1149.449951,1140.172852,44277
2020-07-24,1145.000000,1215.000000,1128.650024,1167.550049,1158.126831,92462
2020-07-27,1183.000000,1183.000000,1125.949951,1129.599976,1120.483032,39322
2020-07-28,1125.000000,1150.000000,1125.000000,1134.750000,1125.591553,37645
2020-07-29,1145.000000,1150.000000,1115.099976,1134.750000,1125.591553,41513
2020-07-30,1139.750000,1162.800049,1125.000000,1132.199951,1123.062012,42508
2020-07-31,1125.099976,1159.500000,1115.199951,1122.099976,1113.043457,38039
2020-08-03,1127.750000,1134.400024,1116.000000,1122.650024,1113.589111,35825
2020-08-04,1128.300049,1138.849976,1104.849976,1130.349976,1121.226929,36350
2020-08-05,1136.000000,1150.000000,1128.800049,1143.400024,1134.171631,35187
2020-08-06,1149.800049,1180.000000,1142.050049,1176.050049,1166.558105,54667
2020-08-07,1176.050049,1193.949951,1168.449951,1179.150024,1169.633179,41935
2020-08-10,1188.900024,1230.000000,1178.849976,1216.849976,1207.028809,55307
2020-08-11,1222.949951,1270.000000,1217.000000,1264.050049,1253.848022,123997
2020-08-12,1265.000000,1304.000000,1245.000000,1289.849976,1279.439697,91056
2020-08-13,1302.000000,1445.000000,1300.000000,1430.900024,1419.351196,183052
